,year,name,christian,islam,buddhist,judaism,nonrelig,other,pop
0,1980,AAB,53150000,600000,0,0,0,9250000,63000000
1,1981,AAB,53132000,403000,0,0,0,9956000,63488000
2,1982,AAB,53080000,237000,0,0,0,10514000,63784000
3,1983,AAB,52997000,110000,0,0,0,10919000,63936000
4,1984,AAB,52886000,28000,0,0,0,11166000,63992000
5,1985,AAB,52750000,0,0,0,0,11250000,64000000
6,1986,AAB,52124000,31000,0,0,163000,11135000,63516000
7,1987,AAB,50847000,105000,0,0,568000,10834000,62364000
8,1988,AAB,49373000,194000,0,0,1085000,10412000,60990000
9,1989,AAB,48156000,268000,0,0,1587000,9932000,59838000
10,1990,AAB,47650000,300000,0,0,1946000,9459000,59355000
11,1991,AAB,47965000,299000,0,0,2165000,8955000,59517000
12,1992,AAB,48771000,296000,0,0,2347000,8368000,59932000
13,1993,AAB,49858000,293000,0,0,2508000,7731000,60491000
14,1994,AAB,51015000,290000,0,0,2664000,7083000,61086000
15,1995,AAB,52032000,287000,0,0,2831000,6459000,61609000
16,1996,AAB,52845000,284000,0,0,3011000,5762000,62002000
17,1997,AAB,53596000,282000,0,0,3194000,4970000,62339000
18,1998,AAB,54378000,280000,0,0,3376000,4226000,62705000
19,1999,AAB,55286000,277000,0,0,3551000,3674000,63184000
20,2000,AAB,56415000,274000,0,0,3716000,3458000,63863000
21,2001,AAB,58055000,261000,0,0,3867000,4192000,66162000
22,2002,AAB,60274000,235000,0,0,4009000,5944000,70557000
23,2003,AAB,62822000,202000,0,0,4146000,8035000,75717000
24,2004,AAB,65453000,168000,0,0,4282000,9787000,80309000
25,2005,AAB,67920000,137000,0,0,4421000,10522000,83000000
26,2006,AAB,70221000,109000,0,0,4562000,10177000,84234000
27,2007,AAB,72522000,82000,0,0,4703000,9160000,85305000
28,2008,AAB,74823000,54000,0,0,4844000,7499000,86149000
29,2009,AAB,77124000,27000,0,0,4985000,5219000,86701000
30,2010,AAB,79425000,0,0,0,5127000,2348000,86900000
31,1945,AFG,210000,8391998000,1926000,642000,347000,53877000,8449000000
32,1946,AFG,226000,8477890000,1976000,622000,244000,49473000,8530327000
33,1947,AFG,274000,8573658000,2029000,603000,149000,46726000,8623222000
34,1948,AFG,347000,8678297000,2083000,584000,72000,45247000,8726354000
35,1949,AFG,441000,8790804000,2138000,566000,19000,44645000,8838390000
36,1950,AFG,550000,8910175000,2195000,549000,0,44531000,8958000000
37,1951,AFG,758000,9040512000,2253000,532000,0,45781000,9088939000
38,1952,AFG,1111000,9184160000,2314000,516000,0,49304000,9234316000
39,1953,AFG,1546000,9337471000,2376000,500000,0,54760000,9391823000
40,1954,AFG,2003000,9496800000,2439000,484000,0,61809000,9559153000
41,1955,AFG,2418000,9658503000,2501000,469000,0,70109000,9734000000
42,1956,AFG,2791000,9819944000,2562000,453000,107000,91917000,9919131000
43,1957,AFG,3164000,9983975000,2623000,437000,369000,131314000,10117632000
44,1958,AFG,3538000,10155173000,2684000,421000,696000,175690000,10327668000
45,1959,AFG,3911000,10338118000,2745000,405000,999000,212435000,10547402000
46,1960,AFG,4285000,10537389000,2807000,389000,1187000,228943000,10775000000
47,1961,AFG,4658000,10758754000,2868000,372000,1274000,230929000,11012371000
48,1962,AFG,5032000,11002250000,2929000,356000,1341000,232507000,11261853000
49,1963,AFG,5405000,11263857000,2990000,340000,1396000,233657000,11522249000
50,1964,AFG,5779000,11539553000,3051000,324000,1448000,234361000,11792363000
51,1965,AFG,6153000,11825320000,3113000,308000,1506000,234600000,12071000000
52,1966,AFG,6586000,12156141000,3176000,290000,1559000,223981000,12360494000
53,1967,AFG,7079000,12536499000,3242000,271000,1602000,198659000,12662565000
54,1968,AFG,7542000,12916616000,3307000,253000,1651000,168436000,12975088000
55,1969,AFG,7885000,13246713000,3367000,238000,1720000,143114000,13295941000
56,1970,AFG,8020000,13477012000,3419000,228000,1825000,132496000,13623000000
57,1971,AFG,8001000,13609389000,3468000,221000,97675000,162625000,13957659000
58,1972,AFG,7954000,13699358000,3518000,216000,326057000,234473000,14301834000
59,1973,AFG,7891000,13777590000,3563000,212000,598600000,320226000,14654179000
60,1974,AFG,7824000,13874759000,3594000,208000,826931000,392074000,15013350000
61,1975,AFG,7765000,14021540000,3607000,204000,922680000,422204000,15378000000
62,1976,AFG,7714000,14423894000,3512000,199000,840482000,421057000,15812730000
63,1977,AFG,7663000,15120429000,3287000,194000,643811000,417968000,16318741000
64,1978,AFG,7612000,15890783000,3019000,188000,407549000,413465000,16799587000
65,1979,AFG,7561000,16514593000,2794000,183000,206580000,408074000,17158822000
66,1980,AFG,7510000,16771500000,2700000,179000,115787000,402324000,17300000000
67,1981,AFG,7459000,16594611000,2700000,174000,106020000,393495000,17114776000
68,1982,AFG,7408000,16172799000,2700000,169000,98269000,380662000,16673088000
69,1983,AFG,7357000,15669345000,2700000,164000,92623000,367035000,16145912000
70,1984,AFG,7306000,15247533000,2700000,159000,89170000,355825000,15704224000
71,1985,AFG,7255000,15070645000,2700000,155000,88000000,350245000,15519000000
72,1986,AFG,7205000,15080436000,2842000,150000,89344000,348680000,15529253000
73,1987,AFG,7158000,15108997000,3185000,146000,92592000,347400000,15559159000
74,1988,AFG,7109000,15155105000,3603000,141000,96568000,346441000,15607439000
75,1989,AFG,7057000,15217536000,3973000,136000,100096000,345839000,15672813000
76,1990,AFG,7000000,15295070000,4169000,130000,102000000,345631000,15754000000
77,1991,AFG,6932000,15628259000,4225000,120000,102539000,363735000,16107270000
78,1992,AFG,6855000,16342272000,4265000,108000,102857000,406907000,16863691000
79,1993,AFG,6773000,17262809000,4295000,94000,103106000,458436000,17834176000
80,1994,AFG,6689000,18215570000,4324000,79000,103436000,501608000,18829641000
81,1995,AFG,6609000,19026255000,4357000,66000,104000000,519713000,19661000000
82,1996,AFG,6518000,19685141000,4400000,50000,106217000,512433000,20317052000
83,1997,AFG,6415000,20310494000,4449000,33000,110617000,493971000,20927985000
84,1998,AFG,6318000,20919992000,4496000,16000,116007000,469387000,21516791000
85,1999,AFG,6247000,21531312000,4530000,4000,121198000,443743000,22106465000
86,2000,AFG,6219000,22162133000,4544000,0,125000000,422104000,22720000000
87,2001,AFG,8167000,22860129000,4513000,0,127774000,406088000,23417276000
88,2002,AFG,12814000,23613762000,4432000,0,130470000,392276000,24183273000
89,2003,AFG,18359000,24351884000,4312000,0,132780000,378165000,24928631000
90,2004,AFG,23006000,25003345000,4168000,0,134393000,361251000,25563993000
91,2005,AFG,24955000,25497000000,4012000,0,135000000,339033000,26000000000
92,2006,AFG,24265000,25878067000,3818000,0,130680000,305358000,26300186000
93,2007,AFG,22179000,26226282000,3558000,0,118840000,257503000,26572710000
94,2008,AFG,18671000,26522262000,3244000,0,101160000,198103000,26795140000
95,2009,AFG,13715000,26746628000,2888000,0,79320000,129794000,26945046000
96,2010,AFG,7286000,26880000000,2500000,0,55000000,55213000,26999999000
97,1945,ALB,375404000,744990000,0,589000,301000,716000,1122000000
98,1946,ALB,383117000,755575000,0,570000,505000,367000,1135233000
99,1947,ALB,390471000,766322000,0,552000,1103000,156000,1151621000
100,1948,ALB,397428000,777227000,0,534000,2068000,47000,1170692000
101,1949,ALB,403950000,788287000,0,517000,3374000,7000,1191975000
102,1950,ALB,410000000,799500000,0,501000,4997000,2000,1215000000
103,1951,ALB,415654000,810935000,0,485000,10874000,299000,1241099000
104,1952,ALB,421000000,822601000,0,470000,23614000,1009000,1271372000
105,1953,ALB,426016000,834400000,0,455000,41190000,1856000,1304995000
106,1954,ALB,430680000,846232000,0,440000,61574000,2566000,1341145000
107,1955,ALB,434972000,857998000,0,426000,82740000,2864000,1379000000
108,1956,ALB,438590000,869697000,0,411000,107674000,2583000,1419892000
109,1957,ALB,441604000,881397000,0,396000,138842000,1913000,1464838000
110,1958,ALB,444546000,893097000,0,381000,173434000,1114000,1512538000
111,1959,ALB,447947000,904797000,0,366000,208639000,444000,1561692000
112,1960,ALB,452338000,916497000,0,351000,241650000,164000,1611000000
113,1961,ALB,458459000,928196000,0,335000,272905000,461000,1660866000
114,1962,ALB,466495000,939896000,0,320000,304286000,1171000,1712217000
115,1963,ALB,476136000,951595000,0,305000,335144000,2019000,1764535000
116,1964,ALB,487074000,963295000,0,290000,364832000,2729000,1817302000
117,1965,ALB,499003000,974995000,0,275000,392700000,3027000,1870000000
118,1966,ALB,513110000,986694000,0,257000,418896000,2723000,1922762000
119,1967,ALB,530164000,998394000,0,237000,443997000,1997000,1975937000
120,1968,ALB,549224000,1010093000,0,219000,467993000,1128000,2029331000
121,1969,ALB,569349000,1021793000,0,205000,490877000,392000,2082750000
122,1970,ALB,589599000,1033493000,0,200000,512640000,68000,2136000000
123,1971,ALB,610403000,1045192000,0,203000,533042000,44000,2189000000
124,1972,ALB,632477000,1056892000,0,214000,552205000,26000,2241881000
125,1973,ALB,655304000,1068592000,0,227000,570664000,12000,2294762000
126,1974,ALB,678368000,1080292000,0,242000,588950000,4000,2347761000
127,1975,ALB,701151000,1091992000,0,255000,607600000,2000,2401000000
128,1976,ALB,724608000,1103039000,0,267000,626615000,137000,2454263000
129,1977,ALB,749086000,1113435000,0,282000,645640000,494000,2507473000
130,1978,ALB,773151000,1124157000,0,295000,664670000,1000000,2560952000
131,1979,ALB,795370000,1136182000,0,306000,683698000,1582000,2615020000
132,1980,ALB,814313000,1150490000,0,310000,702720000,2167000,2670000000
133,1981,ALB,829529000,1169745000,0,309000,721733000,2746000,2726022000
134,1982,ALB,842449000,1194167000,0,309000,740741000,3391000,2782897000
135,1983,ALB,854456000,1221063000,0,308000,759747000,4146000,2840461000
136,1984,ALB,866934000,1247742000,0,307000,778753000,5053000,2898550000
137,1985,ALB,881265000,1271510000,0,307000,797760000,6158000,2957000000
138,1986,ALB,898579000,1289926000,0,306000,819809000,8270000,3015223000
139,1987,ALB,918151000,1304903000,0,306000,844899000,11546000,3073340000
140,1988,ALB,938579000,1320272000,0,305000,868469000,15049000,3132246000
141,1989,ALB,958462000,1339866000,0,305000,885957000,17838000,3192834000
142,1990,ALB,976398000,1367520000,0,305000,892800000,18977000,3256000000
143,1991,ALB,994524000,1443492000,0,304000,871627000,17723000,3334153000
144,1992,ALB,1013896000,1579138000,0,303000,817745000,14708000,3426877000
145,1993,ALB,1031482000,1734931000,0,303000,745602000,11054000,3515825000
146,1994,ALB,1044256000,1871347000,0,302000,669649000,7882000,3582648000
147,1995,ALB,1049187000,1948860000,0,302000,604338000,6313000,3609000000
148,1996,ALB,1014534000,1981857000,0,301000,541535000,5949000,3557416000
149,1997,ALB,931901000,2010095000,0,301000,471565000,5652000,3434408000
150,1998,ALB,833275000,2032094000,0,300000,406563000,5430000,3287592000
151,1999,ALB,750642000,2046377000,0,300000,358663000,5291000,3164584000
152,2000,ALB,715990000,2051467000,0,300000,340000000,5243000,3113000000
153,2001,ALB,728624000,2039022000,0,299000,340220000,7527000,3114812000
154,2002,ALB,758754000,2009348000,0,299000,340868000,12975000,3119596000
155,2003,ALB,794714000,1973930000,0,299000,341927000,19477000,3126374000
156,2004,ALB,824844000,1944256000,0,299000,343376000,24925000,3134168000
157,2005,ALB,837479000,1931812000,0,299000,345200000,27210000,3142000000
158,2006,ALB,830896000,1934454000,0,281000,354203000,26907000,3150276000
159,2007,ALB,811640000,1942993000,0,236000,375260000,25836000,3159942000
160,2008,ALB,780450000,1958347000,0,169000,405454000,23749000,3170822000
161,2009,ALB,738064000,1981437000,0,88000,441869000,20398000,3182741000
162,2010,ALB,685221000,2013180000,0,0,481585000,15538000,3195525000
163,1965,ALG,484138000,10770700000,0,25000000,0,643162000,11923000000
164,1966,ALG,374931000,11387295000,0,17776000,0,458015000,12252467000
165,1967,ALG,274818000,11981341000,0,11143000,0,289616000,12600683000
166,1968,ALG,191769000,12551190000,0,5671000,0,151978000,12966464000
167,1969,ALG,133754000,13095194000,0,1932000,0,59118000,13348630000
168,1970,ALG,108745000,13611705000,0,500000,0,25050000,13746000000
169,1971,ALG,103905000,14089665000,0,426000,252000,27393000,14162956000
170,1972,ALG,100637000,14532919000,0,378000,896000,33447000,14602258000
171,1973,ALG,98266000,14962174000,0,343000,1764000,41742000,15060281000
172,1974,ALG,96121000,15398135000,0,312000,2688000,50812000,15533403000
173,1975,ALG,93527000,15861508000,0,275000,3500000,59190000,16018000000
174,1976,ALG,90489000,16351982000,0,225000,4312000,66875000,16513909000
175,1977,ALG,87459000,16856866000,0,171000,5236000,74881000,17024695000
176,1978,ALG,84425000,17378297000,0,119000,6104000,83255000,17552327000
177,1979,ALG,81379000,17918409000,0,76000,6748000,92044000,18098773000
178,1980,ALG,78312000,18479340000,0,50000,7000000,101298000,18666000000
179,1981,ALG,74717000,19083758000,0,34000,6272000,113045000,19265535000
180,1982,ALG,70601000,19732221000,0,20000,4536000,127320000,19898038000
181,1983,ALG,66722000,20393691000,0,9000,2464000,141169000,20549173000
182,1984,ALG,63839000,21037129000,0,2000,728000,151643000,21204605000
183,1985,ALG,62710000,21631500000,0,0,0,155790000,21850000000
184,1986,ALG,69541000,22162711000,0,62000,74880000,142395000,22487356000
185,1987,ALG,85832000,22654325000,0,211000,253440000,110455000,23126233000
186,1988,ALG,105277000,23131784000,0,388000,466560000,72334000,23763631000
187,1989,ALG,121568000,23620528000,0,537000,645120000,40394000,24396552000
188,1990,ALG,128400000,24146000000,0,600000,720000000,27000000,25022000000
189,1991,ALG,116262000,24711315000,0,537000,645120000,111812000,25632368000
190,1992,ALG,87211000,25301669000,0,388000,466560000,314056000,26229771000
191,1993,ALG,52289000,25915614000,0,211000,253440000,555444000,26825790000
192,1994,ALG,22538000,26551706000,0,62000,74880000,757688000,27432006000
193,1995,ALG,9000000,27208500000,0,0,0,842500000,28060000000
194,1996,ALG,7406000,27940835000,0,58000,19637000,810017000,28761454000
195,1997,ALG,6139000,28751778000,0,199000,66466000,727832000,29529513000
196,1998,ALG,5214000,29562220000,0,366000,122359000,618836000,30287945000
197,1999,ALG,4647000,30293051000,0,507000,169188000,505924000,30960517000
198,2000,ALG,4455000,30865165000,0,566000,188826000,411988000,31471000000
199,2001,ALG,30067000,31274315000,0,564000,169188000,326767000,31818390000
200,2002,ALG,91643000,31601427000,0,559000,122359000,234640000,32085740000
201,2003,ALG,166293000,31895141000,0,550000,66466000,150452000,32322894000
202,2004,ALG,231124000,32204098000,0,539000,19637000,89052000,32579698000
203,2005,ALG,263248000,32576940000,0,526000,0,65286000,32906000000
204,2006,ALG,270753000,33026799000,0,486000,0,65334000,33325243000
205,2007,ALG,276880000,33530629000,0,403000,0,65673000,33820946000
206,2008,ALG,281463000,34082801000,0,288000,0,66592000,34383059000
207,2009,ALG,284335000,34677688000,0,150000,0,68382000,35001534000
208,2010,ALG,285330000,35309660000,0,0,0,71334000,35666324000
209,1995,AND,62680000,448000,0,257000,4298000,317000,68000000
210,1996,AND,65539000,469000,0,180000,4379000,244000,70837000
211,1997,AND,68152000,484000,0,111000,4433000,177000,73433000
212,1998,AND,70362000,493000,0,53000,4467000,121000,75610000
213,1999,AND,72012000,498000,0,14000,4483000,82000,77191000
214,2000,AND,72946000,500000,0,0,4488000,66000,78000000
215,2001,AND,73372000,489000,0,0,4447000,62000,78281000
216,2002,AND,73656000,464000,0,0,4351000,59000,78447000
217,2003,AND,73877000,435000,0,0,4236000,56000,78572000
218,2004,AND,74114000,410000,0,0,4140000,55000,78732000
219,2005,AND,74445000,400000,0,0,4100000,55000,79000000
220,2006,AND,74901000,419000,0,0,4245000,72000,79601000
221,2007,AND,75452000,471000,0,0,4644000,121000,80649000
222,2008,AND,76086000,552000,0,0,5241000,193000,82046000
223,2009,AND,76788000,653000,0,0,5980000,281000,83695000
224,2010,AND,77546000,769000,0,0,6807000,377000,85499000
225,1975,ANG,5287242000,24418000,655000,0,20000000,790685000,6123000000
226,1976,ANG,5475009000,28901000,668000,0,21616000,768994000,6295225000
227,1977,ANG,5665498000,33385000,683000,0,23448000,747916000,6471037000
228,1978,ANG,5858654000,37868000,697000,0,25472000,727484000,6650336000
229,1979,ANG,6054422000,42352000,712000,0,27664000,707730000,6833023000
230,1980,ANG,6252750000,46836000,728000,0,30000000,688686000,7019000000
231,1981,ANG,6444132000,51319000,743000,0,32616000,669599000,7199065000
232,1982,ANG,6628696000,55803000,759000,0,35568000,650394000,7373451000
233,1983,ANG,6820831000,60286000,775000,0,38712000,632120000,7556203000
234,1984,ANG,7034929000,64770000,792000,0,41904000,615825000,7761371000
235,1985,ANG,7285380000,69254000,809000,0,45000000,602557000,8003000000
236,1986,ANG,7642301000,73737000,826000,0,47866000,590823000,8345546000
237,1987,ANG,8108922000,78220000,844000,0,50598000,579339000,8793869000
238,1988,ANG,8599293000,82704000,862000,0,53397000,569459000,9272619000
239,1989,ANG,9027468000,87187000,881000,0,56464000,562537000,9706445000
240,1990,ANG,9307500000,91671000,900000,0,60000000,559929000,10020000000
241,1991,ANG,9457152000,96276000,919000,0,63757000,568966000,10212141000
242,1992,ANG,9566394000,101003000,939000,0,67733000,594208000,10354303000
243,1993,ANG,9657582000,105669000,959000,0,72489000,632846000,10479994000
244,1994,ANG,9753075000,110092000,979000,0,78590000,682073000,10622723000
245,1995,ANG,9875230000,114089000,1000000,0,86599000,739082000,10816000000
246,1996,ANG,10016829000,117373000,1020000,0,108463000,872959000,11092401000
247,1997,ANG,10167074000,120112000,1040000,0,147747000,1105490000,11452020000
248,1998,ANG,10342950000,122800000,1060000,0,192440000,1362910000,11879639000
249,1999,ANG,10561442000,125931000,1080000,0,230528000,1571456000,12360038000
250,2000,ANG,10839535000,130000000,1101000,0,250000000,1657364000,12878000000
251,2001,ANG,11389139000,136694000,1118000,0,254822000,1604132000,13511419000
252,2002,ANG,12279671000,146240000,1134000,0,257757000,1477194000,14289854000
253,2003,ANG,13314376000,156939000,1151000,0,259981000,1325689000,15125579000
254,2004,ANG,14296497000,167092000,1172000,0,262669000,1198751000,15930869000
255,2005,ANG,15029280000,175000000,1200000,0,267000000,1145520000,16618000000
256,2006,ANG,15555845000,181029000,1246000,0,275019000,1159250000,17200863000
257,2007,ANG,16038166000,186577000,1318000,0,287407000,1202367000,17747867000
258,2008,ANG,16457760000,191484000,1410000,0,303284000,1277761000,18253056000
259,2009,ANG,16796148000,195594000,1517000,0,321774000,1388323000,18710477000
260,2010,ANG,17034848000,198750000,1634000,0,342000000,1536943000,19114176000
261,1945,ARG,15150266000,0,0,249660000,0,74000,15400000000
262,1946,ARG,15289087000,6755000,0,249633000,86381000,25337000,15669069000
263,1947,ARG,15469380000,12008000,0,249554000,153567000,93913000,15984527000
264,1948,ARG,15684336000,15761000,0,249421000,201557000,194979000,16340450000
265,1949,ARG,15927146000,18013000,0,249237000,230351000,317711000,16730916000
266,1950,ARG,16191000000,18764000,0,249000000,239949000,451287000,17150000000
267,1951,ARG,16515626000,16812000,0,222935000,214994000,678822000,17684453000
268,1952,ARG,16916912000,12159000,0,161162000,155486000,1025611000,18348099000
269,1953,ARG,17352289000,6604000,0,87521000,84462000,1394100000,19025617000
270,1954,ARG,17779189000,1951000,0,25853000,24954000,1686734000,19601690000
271,1955,ARG,18155042000,0,0,0,0,1805958000,19961000000
272,1956,ARG,18471204000,0,0,39405000,0,1692087000,20135017000
273,1957,ARG,18758913000,0,0,134217000,0,1415793000,20254266000
274,1958,ARG,19035421000,0,0,249325000,0,1075055000,20352006000
275,1959,ARG,19317979000,0,0,349622000,0,767851000,20461497000
276,1960,ARG,19623840000,0,0,400000000,0,592160000,20616000000
277,1961,ARG,19960093000,180000,360000,411477000,3960000,525947000,20856196000
278,1962,ARG,20316557000,640000,1280000,419474000,14080000,477062000,21177558000
279,1963,ARG,20684570000,1260000,2520000,425482000,27719000,438307000,21545520000
280,1964,ARG,21055470000,1920000,3840000,430994000,42239000,402487000,21925522000
281,1965,ARG,21420596000,2500000,5000000,437500000,55000000,362404000,22283000000
282,1966,ARG,21780060000,3000000,6160000,444878000,67218000,311308000,22612369000
283,1967,ARG,22139638000,3500000,7480000,452134000,80655000,253983000,22936673000
284,1968,ARG,22499160000,4000000,8720000,459451000,93483000,200531000,23264292000
285,1969,ARG,22858454000,4500000,9640000,467012000,103873000,161051000,23603608000
286,1970,ARG,23217353000,5000000,10000000,475000000,110000000,145647000,23963000000
287,1971,ARG,23582532000,5448000,9547000,483767000,113206000,159778000,24352077000
288,1972,ARG,23954106000,5845000,8442000,493227000,115956000,197753000,24767004000
289,1973,ARG,24322060000,6268000,7063000,502902000,118104000,252947000,25195992000
290,1974,ARG,24676376000,6794000,5789000,512312000,119501000,318731000,25627253000
291,1975,ARG,25007040000,7500000,5000000,520980000,120000000,388480000,26049000000
292,1976,ARG,25307271000,9221000,4654000,528683000,117573000,480917000,26458045000
293,1977,ARG,25585549000,12139000,4414000,535786000,111786000,606823000,26862265000
294,1978,ARG,25854738000,15346000,4215000,542685000,104879000,747651000,27266462000
295,1979,ARG,26127706000,17935000,3987000,549777000,99092000,884855000,27675439000
296,1980,ARG,26417319000,19000000,3666000,557460000,96666000,999889000,28094000000
297,1981,ARG,26731359000,17024000,3034000,566579000,105102000,1094227000,28524986000
298,1982,ARG,27061871000,12312000,2093000,576911000,128108000,1181872000,28965455000
299,1983,ARG,27398112000,6688000,1102000,587248000,162230000,1263068000,29411531000
300,1984,ARG,27729340000,1976000,318000,596382000,204012000,1338056000,29859338000
301,1985,ARG,28044812000,0,0,603106000,250000000,1407082000,30305000000
302,1986,ARG,28329431000,0,0,607309000,325847000,1478344000,30748391000
303,1987,ARG,28590893000,0,0,610288000,441215000,1552650000,31192097000
304,1988,ARG,28852638000,0,0,612943000,568659000,1619155000,31636308000
305,1989,ARG,29138111000,0,0,616171000,680736000,1667011000,32081212000
306,1990,ARG,29470753000,0,0,620873000,750000000,1685374000,32527000000
307,1991,ARG,29910696000,0,0,632292000,780887000,1636567000,32973612000
308,1992,ARG,30454368000,0,0,651223000,801010000,1520182000,33420927000
309,1993,ARG,31029648000,0,0,671894000,817689000,1381271000,33869036000
310,1994,ARG,31564418000,0,0,688531000,838245000,1264886000,34318030000
311,1995,ARG,31986560000,0,0,695360000,870000000,1216080000,34768000000
312,1996,ARG,32339874000,55132000,571000,653853000,924502000,1239567000,35232658000
313,1997,ARG,32688116000,187615000,1952000,554875000,1009029000,1295577000,35711948000
314,1998,ARG,32989095000,348080000,3647000,436740000,1124489000,1362428000,36185310000
315,1999,ARG,33200621000,487158000,5157000,337762000,1271792000,1418438000,36632180000
316,2000,ARG,33280506000,555480000,5985000,296256000,1451847000,1441926000,37032000000
317,2001,ARG,33212575000,570097000,6271000,309645000,1895394000,1326036000,37377085000
318,2002,ARG,33050586000,581327000,6496000,341573000,2673575000,1048650000,37686329000
319,2003,ARG,32857245000,589702000,6670000,379682000,3547903000,715187000,37979030000
320,2004,ARG,32695256000,595749000,6805000,411610000,4279887000,431071000,38274487000
321,2005,ARG,32627326000,600000000,6912000,425000000,4631040000,301722000,38592000000
322,2006,ARG,32716184000,603402000,7006000,418659000,4705597000,286411000,38932590000
323,2007,ARG,32964837000,606412000,7093000,399979000,4765902000,274234000,39284123000
324,2008,ARG,33346398000,608821000,7164000,369469000,4810624000,265345000,39646159000
325,2009,ARG,33833984000,610420000,7214000,327639000,4838433000,259898000,40018262000
326,2010,ARG,34400709000,610999000,7236000,275000000,4847999000,258048000,40399992000
327,1995,ARM,3288527000,8316000,210000,706000,459000000,2241000,3759000000
328,1996,ARM,3349604000,6070000,147000,754000,337696000,12796000,3716122000
329,1997,ARM,3387339000,4011000,90000,787000,228768000,22452000,3670607000
330,1998,ARM,3407342000,2318000,43000,807000,140592000,30788000,3622631000
331,1999,ARM,3415228000,1172000,11000,818000,81544000,37384000,3572370000
332,2000,ARM,3416610000,750000,0,821000,60000000,41819000,3520000000
333,2001,ARM,3378966000,756000,0,799000,65059000,44924000,3454437000
334,2002,ARM,3289200000,773000,0,748000,77177000,47681000,3375272000
335,2003,ARM,3182060000,797000,0,685000,91766000,49894000,3298688000
336,2004,ARM,3092294000,824000,0,629000,104237000,51365000,3240869000
337,2005,ARM,3054651000,850000,0,599000,110000000,51900000,3218000000
338,2006,ARM,3054907000,875000,0,587000,110802000,51689000,3218222000
339,2007,ARM,3056699000,903000,0,578000,111442000,51003000,3219777000
340,2008,ARM,3061563000,933000,0,571000,111912000,49758000,3224000000
341,2009,ARM,3071036000,965000,0,566000,112201000,47872000,3232223000
342,2010,ARM,3086654000,1000000,0,565000,112300000,45262000,3245781000
343,1945,AUL,7079273000,16499000,9543000,25298000,213616000,47771000,7392000000
344,1946,AUL,7209170000,16787000,9628000,26951000,225343000,42999000,7531164000
345,1947,AUL,7347184000,17081000,9714000,28762000,237951000,38630000,7680173000
346,1948,AUL,7492765000,17380000,9801000,30718000,251371000,34990000,7838300000
347,1949,AUL,7645365000,17684000,9889000,32804000,265535000,32407000,8004818000
348,1950,AUL,7804437000,17994000,9978000,35006000,280376000,31209000,8179000000
349,1951,AUL,7972769000,18310000,10067000,37636000,297342000,30844000,8365443000
350,1952,AUL,8151642000,18635000,10158000,40729000,316594000,30550000,8565846000
351,1953,AUL,8338240000,18965000,10249000,43850000,336124000,30333000,8775126000
352,1954,AUL,8529748000,19295000,10340000,46565000,353927000,30198000,8988204000
353,1955,AUL,8723353000,19624000,10432000,48439000,368000000,30152000,9200000000
354,1956,AUL,8922298000,19950000,10522000,49587000,377691000,30328000,9410857000
355,1957,AUL,9128688000,20276000,10613000,50487000,384950000,30748000,9624219000
356,1958,AUL,9337995000,20602000,10704000,51245000,391662000,31251000,9839652000
357,1959,AUL,9545691000,20928000,10795000,51968000,399716000,31671000,10056723000
358,1960,AUL,9747250000,21254000,10886000,52762000,411000000,31848000,10275000000
359,1961,AUL,9941953000,21580000,10976000,53626000,430760000,31787000,10495030000
360,1962,AUL,10132935000,21906000,11067000,54491000,460384000,31644000,10717129000
361,1963,AUL,10321442000,22232000,11158000,55356000,495968000,31474000,10940513000
362,1964,AUL,10508721000,22558000,11249000,56221000,533607000,31331000,11164398000
363,1965,AUL,10696019000,22884000,11340000,57086000,569400000,31271000,11388000000
364,1966,AUL,10886385000,23196000,11439000,57826000,600802000,31603000,11607598000
365,1967,AUL,11078997000,23496000,11549000,58444000,630466000,32488000,11823716000
366,1968,AUL,11269293000,23802000,11653000,59123000,662274000,33750000,12041936000
367,1969,AUL,11452713000,24134000,11739000,60049000,700112000,35219000,12267837000
368,1970,AUL,11624696000,24514000,11794000,61409000,747865000,36722000,12507000000
369,1971,AUL,11791371000,24973000,11822000,70519000,824107000,38254000,12777128000
370,1972,AUL,11956632000,25510000,11844000,89875000,933967000,40009000,13075641000
371,1973,AUL,12112563000,26092000,11862000,112428000,1061151000,42106000,13377689000
372,1974,AUL,12251248000,26686000,11878000,131129000,1189370000,44667000,13658424000
373,1975,AUL,12364770000,27257000,11897000,138930000,1302332000,47814000,13893000000
374,1976,AUL,12452117000,27724000,11914000,132322000,1400596000,52573000,14076858000
375,1977,AUL,12523568000,28112000,11928000,116567000,1495422000,59528000,14232801000
376,1978,AUL,12588138000,28539000,11944000,97762000,1586561000,68132000,14377015000
377,1979,AUL,12654843000,29128000,11966000,82007000,1673769000,77838000,14525685000
378,1980,AUL,12732700000,30000000,12000000,75400000,1756800000,88100000,14695000000
379,1981,AUL,12822195000,35353000,16634000,75673000,1836619000,99870000,14889400000
380,1982,AUL,12918406000,47397000,28413000,76372000,1913792000,113881000,15099884000
381,1983,AUL,13022233000,63265000,44275000,77315000,1987464000,129254000,15322467000
382,1984,AUL,13134574000,80088000,61158000,78318000,2056785000,145110000,15553167000
383,1985,AUL,13256330000,95000000,76000000,79200000,2120900000,160570000,15788000000
384,1986,AUL,13405063000,107731000,88255000,79937000,2177015000,177601000,16035540000
